date,Labor share of net income (TF convention)
2019-06-01,70.529
2019-09-01,70.319
2019-12-01,70.53
2020-03-01,71.706
2020-06-01,71.25
2020-09-01,68.415
2020-12-01,70.08
2021-03-01,69.126
2021-06-01,68.097
2021-09-01,68.58
2021-12-01,69.169
2022-03-01,69.56
2022-06-01,68.865
2022-09-01,69.046
2022-12-01,69.3
2023-03-01,68.945
2023-06-01,69.215
2023-09-01,69.351
2023-12-01,68.903
2024-03-01,69.189
2024-06-01,69.238
2024-09-01,69.509
2024-12-01,69.315
2025-03-01,69.273
2025-06-01,69.33
2025-09-01,69.344
2025-12-01,69.296
2026-03-01,69.023
2026-06-01,68.316
