date,year,v1_tf,v2_labmax,v3_prop75,ni_pretax,v4_pretax,ni_exh,v5_exhouse,cap_exhouse,v6_exh_labmax,govnp,ni_bus,v7_business,v7_labmax,corp_nva,corp_ni_tf,v8_corp_tf,v8_corp_std,v8_corp_extax,v9_gross,housing_gross
1947-03-01,1947,70.31130696568424,90.04777591134187,85.11365867492746,194852,66.16303656108225,176699,72.96023180663161,6.559742839518051,93.44025716048195,25898,157458,65.42824118177546,88.41087782138729,111958,89282,88.69872986716247,70.73366798263635,78.58064260056759,53.69608316811889,4.885627176249105
1947-06-01,1947,70.16570137252481,88.01979613417141,83.55627244375977,197179,66.29407796976352,179531,72.81082375745693,8.662013802630186,91.33798619736982,25459,160840,65.4432976871425,86.12347674707785,116281,94125,85.56706507304116,69.26325023004618,76.70110947097757,53.74718863199964,4.958698074495598
1947-09-01,1947,69.96957890241524,87.83894216828087,83.37160135181446,200395,66.2252052196911,182698,72.64009458231617,8.808525544888285,91.19147445511172,24119,165552,65.59449598917561,86.06721755098096,118700,96476,85.79957709689457,69.73546756529065,77.21641791044776,53.60390016923891,5.008098425149145
1947-12-01,1947,69.9473891414051,87.82792312372499,83.35778962814501,207259,66.00823124689398,188430,72.60415008225867,8.836172583983442,91.16382741601656,24074,171513,65.7291284042609,86.11941951922012,123888,100072,85.97409864897274,69.44659692625598,76.993843069874,53.41516933336457,4.980439009534519
1948-03-01,1948,68.82802191603432,86.67477644958282,82.2130878161957,215877,64.99951361191789,196550,71.39099465784787,10.097685067412872,89.90231493258713,24690,179179,64.53267402988074,84.83862506208875,130676,106428,83.63212688390273,68.113502096789,75.15282515451383,52.93658278945184,4.956426604293205
1948-06-01,1948,67.43609472514319,86.54403313290207,81.76704853096236,223194,63.61461329605635,203081,69.91496004057494,10.274717969677123,89.72528203032287,25143,185403,63.02001585734859,84.71923323786562,133624,108232,82.98839529898736,67.21846374902712,74.30509596293845,51.88449648095771,4.933236861145827
1948-09-01,1948,68.10539651307943,86.94794678200017,82.23730921477,227899,64.39738656159088,207955,70.57344136952706,9.901180543867664,90.09881945613233,26242,189249,63.682767148043055,85.13809848400784,135993,110649,83.6989037406574,68.10056399961763,75.25943262065547,52.61363514148153,4.9644906987499144
1948-12-01,1948,67.84558833652271,86.15443919765409,81.57722648237124,229863,64.317876300231,210294,70.30300436531712,10.72498502097064,89.27501497902936,26987,190924,63.30058033563093,84.19737696675116,138010,112982,82.31753730682763,67.38931961452069,74.4425056429795,52.571446858898454,5.044750962759092
1949-03-01,1949,69.1910539865223,85.95015900658741,81.76038275157114,222148,65.81603255487333,203769,71.75232739032924,10.868188978696464,89.13181102130353,27786,183526,64.52655209616076,83.82300055577956,134471,110539,82.38902106948679,67.72612682288374,75.03357363542739,53.32591728061857,5.297249981763805
1949-06-01,1949,69.37571355930578,86.13512294806728,81.9452706008769,217982,66.3458450697764,200808,72.02003904226923,10.581749731086411,89.4182502689136,28140,180322,64.59666596421957,83.97145107086213,130305,107477,82.80097137061883,68.29515367790952,76.06348880740532,53.43289206793738,5.493587919944137
1949-09-01,1949,69.03134903269552,85.49596295245469,81.37980947251489,217885,65.88337884663929,200061,71.75311529983355,11.133104403157038,88.86689559684297,28232,179717,64.16643945759166,83.21750307427789,130929,107441,81.98360030156086,67.27615730663184,75.04366272779164,52.99727168347098,5.622030325293599
