date,gdi,comp,wages,supp,topi,subsidies,nos,nos_priv,interest,bctp,prop,rental,cprof,ctax,cprof_at,gov_ent,cfc,topi_net,ucap,ni,lab_net,cap_net,prop_net,capmax_net,labmax_net,c_comp,c_wages,c_supp,c_ucap,c_prop,c_cfc,c_topi,c_ctax,c_rent,lab_gross
1961-09-01,567148,312464,282396,30068,47256,2172,138639,138328,11903,1916,53325,17286,53899,22716,31183,311,70961,45084,62288,428077,72.99247565274472,14.550653270322863,12.456871076932421,27.007524347255284,85.44934672967713,55.09390846833631,49.79229407491519,5.301614393421118,10.982671189883417,9.402307686882436,12.511901655299852,7.949247815385049,4.005303730243252,3.047881681677446,55.09390846833631
1961-12-01,582407,319083,288547,30536,48377,2304,145475,144977,12542,1969,54495,17512,58460,24716,33744,499,71776,46073,65767,439345,72.62697879798336,14.969329342544015,12.403691859472625,27.373021202016638,85.03067065745599,54.78694452504863,49.54387567457122,5.243068850477416,11.292274989826701,9.356858691602264,12.324027698842906,7.910790907389506,4.243767674495671,3.006831992060535,54.78694452504863
1962-03-01,592505,325577,293371,32206,49396,2284,147114,146687,12410,2034,55324,17739,59179,23144,36035,427,72702,47112,68218,449119,72.49236839234145,15.189292815489882,12.318338792168667,27.50763160765855,84.81070718451012,54.94924093467566,49.513674990084475,5.435565944591185,11.51348933764272,9.337305170420503,12.270276200200842,7.951325305271686,3.906127374452536,2.993898785664256,54.94924093467566
1962-06-01,600073,331522,298842,32680,49906,2384,147499,147138,13234,2091,54966,17950,58897,22860,36037,361,73529,47522,69312,455800,72.7340939008337,15.206669591926284,12.059236507240017,27.2659060991663,84.79333040807371,55.24694495503047,49.80094088552559,5.446004069504877,11.550594677647553,9.159885547258417,12.253342509994617,7.919369810006449,3.8095365063917224,2.991302724835145,55.24694495503047
1962-09-01,607427,334336,301270,33066,50888,2216,149870,149457,13745,2146,54888,18150,60528,23552,36976,413,74549,48672,71017,460241,72.64368015887328,15.430394076147062,11.925925764979652,27.356319841126712,84.56960592385293,55.041346532175886,49.597729439093094,5.44361709308279,11.69144605030728,9.036147553533182,12.272915099262956,8.012814708598729,3.877338346830154,2.9880133744466413,55.041346532175886
1962-12-01,615802,337753,304329,33424,51338,2208,153310,152920,14138,2197,55760,18343,62481,23628,38853,391,75608,49130,73531,467044,72.31716926028383,15.74391277909576,11.938917960620413,27.682830739716174,84.25608722090423,54.847662073198855,49.4199434233731,5.4277186498257555,11.940688727870322,9.054858542193758,12.277972465175495,7.9782137765060845,3.836947590296881,2.9787171850692267,54.847662073198855
1963-03-01,623850,342717,308025,34692,52005,2032,154642,153925,13920,2436,55974,18542,63053,23720,39333,718,76518,49973,74231,472922,72.46797569155167,15.696245892557336,11.835778415890992,27.532024308448328,84.30375410744267,54.93580187545083,49.374849723491224,5.560952151959605,11.898853891159733,8.97234912238519,12.265448425102187,8.010419171275146,3.8021960407149153,2.972188827442494,54.93580187545083
1963-06-01,634043,347623,312419,35204,52938,2176,158132,157375,14098,2518,55800,18687,66273,25412,40861,756,77526,50762,76164,479587,72.48382462410366,15.881164418551796,11.635010957344548,27.516175375896346,84.11883558144821,54.82640767266573,49.27410286053154,5.552304812134193,12.012434487881738,8.800664939128735,12.227246417041115,8.00608160645256,4.007930061525796,2.947276446550155,54.82640767266573
1963-09-01,643450,352707,316908,35799,53919,2296,160617,159772,14521,2535,56229,18842,67645,26116,41529,844,78503,51623,77427,486363,72.51929114673608,15.919590922829245,11.561117930434675,27.48070885326392,84.08040907717076,54.814981739062866,49.25137928354962,5.563602455513249,12.033102805190769,8.73867433367006,12.20032636568498,8.022845597948558,4.058745823296293,2.9282772554200016,54.814981739062866
1963-12-01,654309,358837,322303,36534,54682,2432,163698,162761,14977,2619,57589,18836,68739,26716,42023,938,79524,52250,78455,494881,72.50975487036277,15.853306148346775,11.636938981290452,27.490245129637227,84.14669385165323,54.842131164327554,49.25853075534648,5.583600408981078,11.990512128061818,8.80149898595312,12.153890592976714,7.9855236593108145,4.083086125974119,2.878762175057962,54.842131164327554
1964-03-01,667299,365229,328276,36953,55671,2728,168510,167570,15604,2721,57913,18840,72493,26396,46097,940,80617,52943,83262,506404,72.12206064723027,16.441813255819465,11.436126096950261,27.877939352769726,83.55818674418053,54.73243628418445,49.19473879025744,5.53769749392701,12.477465124329573,8.678718235753388,12.081091085105777,7.933924672448183,3.9556480678076844,2.8233220790080606,54.73243628418445
1964-06-01,678727,372676,334887,37789,56746,2880,170430,169487,16191,2785,58821,18779,72912,26400,46512,943,81755,53866,84267,515764,72.25707881899473,16.33828650312934,11.404634677875928,27.742921181005265,83.66171349687066,54.90808528318455,49.34045647218985,5.567628810994701,12.415448331950843,8.666371015150421,12.045343709621099,7.93632786083359,3.8896345658858422,2.7667972542715997,54.90808528318455
