date,id,value
1947-03-01,l_bls_nfb,115.996
1947-06-01,l_bls_nfb,114.395
1947-09-01,l_bls_nfb,116.239
1947-12-01,l_bls_nfb,114.62
1948-03-01,l_bls_nfb,114.793
1948-06-01,l_bls_nfb,114.747
1948-09-01,l_bls_nfb,114.742
1948-12-01,l_bls_nfb,113.804
1949-03-01,l_bls_nfb,114.109
1949-06-01,l_bls_nfb,114.314
1949-09-01,l_bls_nfb,112.159
1949-12-01,l_bls_nfb,112.792
1950-03-01,l_bls_nfb,111.495
1950-06-01,l_bls_nfb,112.161
1950-09-01,l_bls_nfb,110.734
1950-12-01,l_bls_nfb,111.037
1951-03-01,l_bls_nfb,110.475
1951-06-01,l_bls_nfb,111.77
1951-09-01,l_bls_nfb,109.834
1951-12-01,l_bls_nfb,110.905
1952-03-01,l_bls_nfb,111.412
1952-06-01,l_bls_nfb,112.321
1952-09-01,l_bls_nfb,113.002
1952-12-01,l_bls_nfb,112.693
1953-03-01,l_bls_nfb,112.904
1953-06-01,l_bls_nfb,113.209
1953-09-01,l_bls_nfb,113.504
1953-12-01,l_bls_nfb,114.886
1954-03-01,l_bls_nfb,115.233
1954-06-01,l_bls_nfb,114.401
1954-09-01,l_bls_nfb,113.412
1954-12-01,l_bls_nfb,112.749
1955-03-01,l_bls_nfb,110.848
1955-06-01,l_bls_nfb,111.038
1955-09-01,l_bls_nfb,111.466
1955-12-01,l_bls_nfb,111.784
1956-03-01,l_bls_nfb,113.848
1956-06-01,l_bls_nfb,114.78
1956-09-01,l_bls_nfb,115.087
1956-12-01,l_bls_nfb,115.106
1957-03-01,l_bls_nfb,114.107
1957-06-01,l_bls_nfb,114.999
1957-09-01,l_bls_nfb,114.313
1957-12-01,l_bls_nfb,115.181
1958-03-01,l_bls_nfb,116.379
1958-06-01,l_bls_nfb,115.039
1958-09-01,l_bls_nfb,114.94
1958-12-01,l_bls_nfb,112.982
1959-03-01,l_bls_nfb,113.424
1959-06-01,l_bls_nfb,113.039
1959-09-01,l_bls_nfb,113.081
1959-12-01,l_bls_nfb,113.952
1960-03-01,l_bls_nfb,113.619
1960-06-01,l_bls_nfb,115.916
1960-09-01,l_bls_nfb,115.455
1960-12-01,l_bls_nfb,117.123
1961-03-01,l_bls_nfb,116.542
1961-06-01,l_bls_nfb,114.929
1961-09-01,l_bls_nfb,113.77
1961-12-01,l_bls_nfb,113.586
1962-03-01,l_bls_nfb,113.026
1962-06-01,l_bls_nfb,113.834
1962-09-01,l_bls_nfb,112.626
1962-12-01,l_bls_nfb,112.89
1963-03-01,l_bls_nfb,113.071
1963-06-01,l_bls_nfb,112.738
1963-09-01,l_bls_nfb,111.191
1963-12-01,l_bls_nfb,111.846
1964-03-01,l_bls_nfb,110.518
1964-06-01,l_bls_nfb,110.812
1964-09-01,l_bls_nfb,110.589
1964-12-01,l_bls_nfb,112.116
1965-03-01,l_bls_nfb,110.624
1965-06-01,l_bls_nfb,110.69
1965-09-01,l_bls_nfb,109.183
1965-12-01,l_bls_nfb,108.519
1966-03-01,l_bls_nfb,108.609
1966-06-01,l_bls_nfb,109.958
1966-09-01,l_bls_nfb,110.34
1966-12-01,l_bls_nfb,109.866
1967-03-01,l_bls_nfb,109.937
1967-06-01,l_bls_nfb,110.685
1967-09-01,l_bls_nfb,110.659
1967-12-01,l_bls_nfb,110.784
1968-03-01,l_bls_nfb,110.125
1968-06-01,l_bls_nfb,109.682
1968-09-01,l_bls_nfb,110.716
1968-12-01,l_bls_nfb,111.648
1969-03-01,l_bls_nfb,110.962
1969-06-01,l_bls_nfb,112.424
1969-09-01,l_bls_nfb,113.187
1969-12-01,l_bls_nfb,114.771
1970-03-01,l_bls_nfb,115.245
1970-06-01,l_bls_nfb,113.7
1970-09-01,l_bls_nfb,113.18
1970-12-01,l_bls_nfb,113.699
1971-03-01,l_bls_nfb,111.541
1971-06-01,l_bls_nfb,111.502
1971-09-01,l_bls_nfb,110.939
1971-12-01,l_bls_nfb,112.253
1972-03-01,l_bls_nfb,112.234
1972-06-01,l_bls_nfb,110.916
1972-09-01,l_bls_nfb,111.069
1972-12-01,l_bls_nfb,111.527
1973-03-01,l_bls_nfb,111.289
1973-06-01,l_bls_nfb,111.56
1973-09-01,l_bls_nfb,113.108
1973-12-01,l_bls_nfb,113.45
1974-03-01,l_bls_nfb,113.742
1974-06-01,l_bls_nfb,112.917
1974-09-01,l_bls_nfb,113.927
1974-12-01,l_bls_nfb,112.602
1975-03-01,l_bls_nfb,111.474
1975-06-01,l_bls_nfb,110.375
1975-09-01,l_bls_nfb,109.301
1975-12-01,l_bls_nfb,109.402
1976-03-01,l_bls_nfb,108.64
1976-06-01,l_bls_nfb,108.462
1976-09-01,l_bls_nfb,108.961
1976-12-01,l_bls_nfb,108.957
1977-03-01,l_bls_nfb,108.784
1977-06-01,l_bls_nfb,108.779
1977-09-01,l_bls_nfb,108.324
1977-12-01,l_bls_nfb,109.712
1978-03-01,l_bls_nfb,111.254
1978-06-01,l_bls_nfb,108.998
